Price,Adj Close,Close,High,Low,Open,Volume
2018-07-01,401.5101318359375,411.5,414.0,351.04998779296875,374.45001220703125,3280766
2018-08-01,496.44805908203125,508.79998779296875,527.3499755859375,402.45001220703125,413.8999938964844,8441238
2018-09-01,391.5577697753906,401.29998779296875,505.25,393.0,504.5,3415635
2018-10-01,317.314208984375,324.1499938964844,402.79998779296875,295.79998779296875,395.1000061035156,5139608
2018-11-01,330.0890197753906,337.20001220703125,373.20001220703125,321.79998779296875,323.1000061035156,4285587
2018-12-01,338.5566101074219,345.8500061035156,365.8999938964844,331.1499938964844,337.8999938964844,2671676
2019-01-01,336.7945556640625,344.04998779296875,355.54998779296875,325.1000061035156,345.95001220703125,3033156
2019-02-01,339.0950012207031,346.3999938964844,363.5,319.79998779296875,342.04998779296875,5247492
2019-03-01,451.52301025390625,461.25,476.45001220703125,341.1000061035156,346.04998779296875,7594415
2019-04-01,451.71875,461.45001220703125,511.95001220703125,455.5,461.25,4599447
2019-05-01,486.5680236816406,497.04998779296875,533.3499755859375,422.79998779296875,461.45001220703125,4936182
2019-06-01,426.0712890625,435.25,509.8999938964844,413.0,500.0,2951234
2019-07-01,385.15277099609375,393.45001220703125,487.29998779296875,379.0,438.79998779296875,3531676
2019-08-01,456.1728210449219,466.0,487.0,376.04998779296875,388.95001220703125,2918444
2019-09-01,397.0954895019531,405.6499938964844,472.45001220703125,400.25,466.0,3194201
2019-10-01,407.99249267578125,415.3500061035156,445.8999938964844,383.0,403.20001220703125,2586203
2019-11-01,383.4844665527344,390.3999938964844,451.3500061035156,357.6499938964844,420.95001220703125,2636460
2019-12-01,408.8275146484375,416.20001220703125,431.8999938964844,380.1000061035156,388.1000061035156,2684453
2020-01-01,389.18170166015625,396.20001220703125,457.79998779296875,377.70001220703125,416.20001220703125,3793058
2020-02-01,340.1165466308594,346.25,409.95001220703125,313.0,400.0,3549657
2020-03-01,206.3291778564453,210.0500030517578,361.0,163.9499969482422,361.0,3574393
2020-04-01,194.14881896972656,197.64999389648438,220.0,180.85000610351562,214.9499969482422,3182807
2020-05-01,154.85739135742188,157.64999389648438,203.8000030517578,145.0,197.64999389648438,4970501
2020-06-01,185.70118713378906,189.0500030517578,202.89999389648438,156.25,159.39999389648438,22937672
2020-07-01,183.73660278320312,187.0500030517578,201.0,164.39999389648438,191.0,18823666
2020-08-01,258.1938781738281,262.8500061035156,307.70001220703125,180.0500030517578,186.6999969482422,19036367
2020-09-01,269.3919372558594,274.25,307.45001220703125,244.35000610351562,254.89999389648438,10050347
2020-10-01,264.4971618652344,267.8500061035156,293.0,248.0,278.79998779296875,7816274
2020-11-01,311.0075988769531,314.95001220703125,376.0,259.04998779296875,267.5,17892684
2020-12-01,343.5945129394531,347.95001220703125,364.8999938964844,301.0,315.1499938964844,13704301
2021-01-01,317.5743713378906,321.6000061035156,394.0,318.04998779296875,346.04998779296875,6244831
2021-02-01,343.3970031738281,347.75,389.0,319.3999938964844,323.25,4451696
2021-03-01,276.89007568359375,280.3999938964844,365.0,274.25,360.0,4350686
2021-04-01,263.50970458984375,266.8500061035156,298.75,251.64999389648438,289.8999938964844,6145014
2021-05-01,283.2593078613281,286.8500061035156,297.25,250.0,267.6499938964844,16375695
2021-06-01,290.3691711425781,294.04998779296875,324.95001220703125,276.8999938964844,288.70001220703125,15025644
2021-07-01,375.9345703125,380.70001220703125,407.0,295.95001220703125,302.0,37503652
2021-08-01,360.62860107421875,365.20001220703125,414.95001220703125,336.75,373.1499938964844,18339343
2021-09-01,475.6208801269531,481.6499938964844,507.0,362.75,366.8999938964844,64718072
2021-10-01,456.2122497558594,460.45001220703125,524.4000244140625,427.25,479.0,19726587
2021-11-01,429.11395263671875,433.1000061035156,504.0,410.54998779296875,465.0,11670444
2021-12-01,486.92694091796875,491.45001220703125,509.95001220703125,410.0,435.1499938964844,14676092
2022-01-01,505.65301513671875,510.3500061035156,589.9000244140625,484.8500061035156,492.0,20655755
2022-02-01,481.57659912109375,486.04998779296875,545.0,412.0,513.9000244140625,15425932
2022-03-01,432.7303771972656,436.75,501.8500061035156,413.0,486.04998779296875,11276761
2022-04-01,476.8208312988281,481.25,508.0,430.0,430.0,17856306
2022-05-01,448.3354187011719,452.5,485.79998779296875,378.0,473.1499938964844,12351013
2022-06-01,491.97998046875,496.54998779296875,508.3999938964844,422.0,456.8500061035156,15570549
2022-07-01,513.4803466796875,518.25,539.0,490.79998779296875,498.29998779296875,13251889
2022-08-01,472.80810546875,477.20001220703125,532.5999755859375,450.0,519.0,5177442
2022-09-01,415.4409484863281,419.29998779296875,483.20001220703125,406.70001220703125,478.8999938964844,5450373
2022-10-01,387.00677490234375,389.3500061035156,427.6499938964844,360.3999938964844,419.29998779296875,4430324
2022-11-01,402.0158996582031,404.45001220703125,407.5,381.75,391.0,4671522
2022-12-01,327.8151550292969,329.79998779296875,412.75,315.0,406.6499938964844,4731391
2023-01-01,363.5487976074219,365.75,379.20001220703125,326.70001220703125,330.79998779296875,7405253
2023-02-01,299.1884765625,301.0,369.75,297.79998779296875,359.8999938964844,3157983
2023-03-01,282.9866027832031,284.70001220703125,320.6000061035156,271.1000061035156,301.0,3442310
2023-04-01,301.17645263671875,303.0,308.0,286.04998779296875,287.0,2504779
2023-05-01,279.5076599121094,281.20001220703125,320.0,279.79998779296875,303.0,3262269
2023-06-01,280.10400390625,281.79998779296875,289.95001220703125,271.3999938964844,281.04998779296875,6104821
2023-07-01,360.91473388671875,363.1000061035156,386.8999938964844,276.79998779296875,285.0,45629306
2023-08-01,358.9267883300781,361.1000061035156,396.1499938964844,351.25,366.3500061035156,9218806
2023-09-01,448.58392333984375,451.29998779296875,454.0,360.54998779296875,362.5,14276484
2023-10-01,427.7508544921875,428.8500061035156,487.5,390.20001220703125,451.29998779296875,13324574
2023-11-01,496.9729919433594,498.25,511.3999938964844,423.79998779296875,430.3999938964844,12449450
2023-12-01,444.4080505371094,445.54998779296875,511.29998779296875,419.95001220703125,501.0,21169744
2024-01-01,468.4961853027344,469.70001220703125,480.3500061035156,426.3500061035156,447.0,24212254
2024-02-01,461.1151123046875,462.29998779296875,502.20001220703125,443.0,474.70001220703125,12176770
2024-03-01,388.501708984375,389.5,479.0,380.04998779296875,463.95001220703125,6735395
2024-04-01,437.57562255859375,438.70001220703125,466.6499938964844,393.54998779296875,395.70001220703125,7352861
2024-05-01,469.7928161621094,471.0,488.0,406.54998779296875,438.70001220703125,10967951
2024-06-01,557.816650390625,559.25,619.4000244140625,432.04998779296875,486.0,28650472
2024-07-01,599.0108032226562,600.5499877929688,699.0,517.5999755859375,567.0,24596026
2024-08-01,567.8907470703125,569.3499755859375,635.0,543.1500244140625,601.0,10256257
2024-09-01,579.1118774414062,580.5999755859375,620.0,551.0499877929688,576.5,16333530
2024-10-01,552.6500244140625,552.6500244140625,602.75,521.4500122070312,580.5999755859375,6824340
2024-11-01,515.1500244140625,515.1500244140625,570.0,486.0,548.7999877929688,3809941
2024-12-01,500.04998779296875,500.04998779296875,544.5999755859375,486.25,511.0,5472721
2025-01-01,503.25,503.25,512.0499877929688,502.45001220703125,512.0,133514
